[server]2024-11-22 01:28:27.140	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:28:37.141	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:28:47.141	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:28:57.140	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:29:07.148	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:29:17.141	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:29:27.143	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:29:37.142	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:29:47.151	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:29:57.141	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:30:07.148	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:30:17.148	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:30:27.145	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:30:37.147	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:30:47.147	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:30:57.150	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:31:07.144	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:31:17.141	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:31:27.141	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:31:37.141	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:31:47.142	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:31:57.147	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:32:07.148	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:32:17.145	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:32:27.144	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:32:37.142	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:32:47.142	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:32:57.141	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:33:07.142	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:33:17.142	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:33:27.140	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:33:37.141	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:33:47.141	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:33:57.142	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:34:07.141	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:34:17.140	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:34:27.141	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:34:37.149	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:34:47.257	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
